"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Grouped 126 A"	"Abundances Grouped 126 B"	"Abundances Grouped 127N A"	"Abundances Grouped 127N B"	"Abundances Grouped 127C A"	"Abundances Grouped 127C B"	"Abundances Grouped 128N A"	"Abundances Grouped 128N B"	"Abundances Grouped 128C A"	"Abundances Grouped 128C B"	"Abundances Grouped 129N A"	"Abundances Grouped 129N B"	"Abundances Grouped 129C A"	"Abundances Grouped 129C B"	"Abundances Grouped 130N A"	"Abundances Grouped 130N B"	"Abundances Grouped 130C A"	"Abundances Grouped 130C B"	"Abundances Grouped 131 A"	"Abundances Grouped 131 B"	"Abundances Grouped CV in Percent 126 A"	"Abundances Grouped CV in Percent 126 B"	"Abundances Grouped CV in Percent 127N A"	"Abundances Grouped CV in Percent 127N B"	"Abundances Grouped CV in Percent 127C A"	"Abundances Grouped CV in Percent 127C B"	"Abundances Grouped CV in Percent 128N A"	"Abundances Grouped CV in Percent 128N B"	"Abundances Grouped CV in Percent 128C A"	"Abundances Grouped CV in Percent 128C B"	"Abundances Grouped CV in Percent 129N A"	"Abundances Grouped CV in Percent 129N B"	"Abundances Grouped CV in Percent 129C A"	"Abundances Grouped CV in Percent 129C B"	"Abundances Grouped CV in Percent 130N A"	"Abundances Grouped CV in Percent 130N B"	"Abundances Grouped CV in Percent 130C A"	"Abundances Grouped CV in Percent 130C B"	"Abundances Grouped CV in Percent 131 A"	"Abundances Grouped CV in Percent 131 B"
"False"	"High"	"IsMasterProtein"	"OEU20521.1"	"heat shock protein 70 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"161.322"	"36"	"29"	"102"	"27"	"1"	"645"	"70.7"	"4.69"	"327.04"	"29"	"1"	"22.2"	"31.8"	"18.6"	"33.1"	"12.9"	"15.0"	"11.1"	"1.2"	"36.3"	"14.9"	"30.0"	"25.0"	"13.7"	"30.5"	"0.4"	"28.8"	""	"24.0"	"15.2"	"20.3"	"79.05"	"65.82"	"87.23"	"64.38"	"68.65"	"113.61"	"64.98"	"81.75"	"70.12"	"131.59"	"62.94"	"84.07"	"54.37"	"77.03"	"52.17"	"75.19"	""	"88.86"	"75.43"	"88.31"
"False"	"High"	"IsMasterProtein"	"OEU19765.1"	"acetyl-CoA carboxylase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"153.760"	"17"	"36"	"81"	"36"	"1"	"2044"	"224.1"	"4.98"	"260.12"	"36"	"0"	"20.4"	"25.8"	"16.3"	"21.3"	"16.0"	"11.3"	"13.2"	"1.3"	"24.2"	"8.4"	"25.3"	"24.7"	"16.1"	"25.8"	"0.7"	"20.4"	""	"18.1"	"18.0"	"15.1"	"93.19"	"81.50"	"89.86"	"82.49"	"90.71"	"93.61"	"76.52"	"29.02"	"86.65"	"121.71"	"89.87"	"91.73"	"98.44"	"86.66"	"42.14"	"89.09"	""	"87.33"	"90.80"	"93.76"
"False"	"High"	"IsMasterProtein"	"OEU10161.1"	"heat shock protein 70 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"139.374"	"31"	"22"	"114"	"21"	"1"	"656"	"71.1"	"5.01"	"395.89"	"22"	"0"	"21.7"	"57.0"	"13.1"	"63.1"	"13.2"	"28.9"	"11.0"	"1.2"	"26.9"	"18.5"	"31.7"	"48.4"	"12.8"	"50.7"	"0.5"	"44.1"	"2.2"	"42.4"	"19.3"	"40.0"	"166.44"	"137.55"	"151.15"	"117.56"	"192.64"	"145.24"	"170.39"	"58.94"	"159.79"	"145.23"	"154.54"	"127.04"	"176.22"	"135.16"	""	"123.35"	""	"141.10"	"157.07"	"126.06"
"False"	"High"	"IsMasterProtein"	"OEU16642.1"	"glutamate synthase family protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"107.463"	"15"	"24"	"51"	"24"	"1"	"1638"	"176.7"	"5.20"	"169.59"	"24"	"0"	"15.2"	"18.1"	"11.4"	"18.3"	"9.3"	"8.1"	"5.5"	"1.8"	"16.2"	"10.9"	"13.3"	"17.8"	"10.5"	"20.0"	"0.1"	"21.7"	""	"16.4"	"11.1"	"14.6"	"63.22"	"89.60"	"54.09"	"82.31"	"75.32"	"109.64"	"83.91"	"128.22"	"69.61"	"104.91"	"77.76"	"102.78"	"98.26"	"101.35"	""	"82.78"	""	"98.31"	"73.72"	"94.49"
"False"	"High"	"IsMasterProtein"	"OEU08944.1"	"ABC_tran-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"105.876"	"17"	"17"	"62"	"17"	"1"	"986"	"109.4"	"6.49"	"210.33"	"17"	"0"	"9.8"	"13.5"	"8.4"	"14.0"	"8.0"	"9.7"	"7.0"	"0.5"	"11.4"	"10.7"	"13.6"	"19.4"	"3.0"	"17.3"	""	"17.2"	""	"12.9"	"9.4"	"11.2"	"95.00"	"96.89"	"91.11"	"94.76"	"82.03"	"94.83"	"74.69"	"80.21"	"92.50"	"99.48"	"85.55"	"86.01"	"91.74"	"105.32"	""	"101.00"	""	"111.41"	"87.69"	"101.84"
"False"	"High"	"IsMasterProtein"	"cRAP_P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"0.000"	"93.869"	"29"	"18"	"52"	"12"	"1"	"584"	"58.8"	"5.21"	"173.51"	"18"	"5"	"58.2"	"23.3"	"61.8"	"13.5"	"20.7"	"18.9"	"18.0"	"1.5"	"53.9"	"8.2"	"34.9"	"56.8"	"32.0"	"29.7"	"1.8"	"37.3"	"0.9"	"30.4"	"27.7"	"18.4"	"116.72"	"94.29"	"107.66"	"119.30"	"87.40"	"119.18"	"89.84"	"41.26"	"140.10"	"38.99"	"98.11"	"83.71"	"83.80"	"89.68"	"58.98"	"101.38"	"80.16"	"85.39"	"109.27"	"105.82"
"False"	"High"	"IsMasterProtein"	"OEU20740.1"	"F-type H-ATPase beta subunit [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"85.045"	"25"	"10"	"51"	"10"	"1"	"502"	"53.7"	"5.22"	"176.78"	"10"	"0"	"4.2"	"10.4"	"8.2"	"10.1"	"5.4"	"5.4"	"2.6"	"0.4"	"8.1"	"29.7"	"9.6"	"11.7"	"2.4"	"10.8"	""	"12.0"	""	"8.3"	"13.4"	"11.4"	"122.00"	"162.77"	"118.53"	"157.88"	"140.14"	"151.93"	"132.97"	""	"124.56"	"91.24"	"116.63"	"157.25"	"125.41"	"169.18"	""	"143.50"	""	"168.59"	"107.69"	"136.82"
"False"	"High"	"IsMasterProtein"	"OEU12223.1"	"ATP synthase subunit A [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"83.597"	"32"	"17"	"63"	"17"	"1"	"514"	"54.8"	"5.10"	"211.03"	"17"	"0"	"23.4"	"29.5"	"14.7"	"25.5"	"15.6"	"14.8"	"9.8"	"0.6"	"22.2"	"14.7"	"26.6"	"24.0"	"14.5"	"22.7"	"0.4"	"24.3"	""	"31.8"	"18.5"	"26.6"	"78.34"	"66.88"	"92.73"	"78.03"	"73.08"	"62.13"	"91.36"	"77.14"	"72.55"	"67.73"	"73.04"	"75.94"	"91.24"	"75.00"	""	"78.29"	""	"61.69"	"77.08"	"66.43"
"False"	"High"	"IsMasterProtein"	"OEU10909.1"	"hypothetical protein FRACYDRAFT_246784 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"82.005"	"21"	"22"	"44"	"22"	"1"	"1108"	"116.8"	"7.52"	"128.37"	"22"	"0"	"23.5"	"15.2"	"18.8"	"17.9"	"14.1"	"8.8"	"9.7"	"0.5"	"22.2"	"10.4"	"15.8"	"22.8"	"18.6"	"27.8"	""	"25.0"	""	"12.7"	"18.5"	"15.6"	"75.60"	"123.93"	"67.01"	"124.68"	"73.69"	"84.93"	"69.12"	"100.12"	"78.41"	"84.08"	"71.35"	"118.54"	"107.92"	"104.43"	""	"122.38"	""	"121.97"	"61.95"	"112.08"
"False"	"High"	"IsMasterProtein"	"OEU20761.1"	"transketolase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"81.348"	"21"	"17"	"66"	"17"	"1"	"707"	"76.1"	"5.26"	"184.26"	"17"	"0"	"28.2"	"35.1"	"15.9"	"30.9"	"17.8"	"18.1"	"16.5"	"0.4"	"28.0"	"19.9"	"33.3"	"39.7"	"14.4"	"45.6"	"1.0"	"50.3"	"0.3"	"30.8"	"20.0"	"27.6"	"95.79"	"76.11"	"100.55"	"71.02"	"101.16"	"46.20"	"96.61"	"87.43"	"100.52"	"47.10"	"101.01"	"57.82"	"127.63"	"55.43"	""	"77.58"	""	"57.81"	"105.44"	"50.59"
